Year,Month,Monthly milk production (in millions of pounds),Number of States,Estimated production USA (in millions of pounds),,
2001,November,11492,20,13305,1.158,
2001,December,12008,20,13902,1.158,
2002,January,12327,20,14304,1.160,
2002,February,11401,20,13229,1.160,
2002,March,12810,20,14864,1.160,
2002,April,12575,20,14580,1.159,
2002,May,13039,20,15118,1.159,
2002,June,12348,20,14317,1.159,
2002,July,12281,20,14196,1.156,
2002,August,12223,20,14128,1.156,
2002,September,11648,20,13467,1.156,
2002,October,11991,20,13866,1.156,
2002,November,11657,20,13478,1.156,
2002,December,12290,20,14211,1.156,
2003,January,12616,20,14584,1.156,
2003,February,11628,20,13441,1.156,
2003,March,13014,20,15044,1.156,
2003,April,12693,20,14634,1.153,
2003,May,13013,20,15003,1.153,
2003,June,12428,20,14328,1.153,
2003,July,12421,20,14263,1.148,
2003,August,12207,20,14015,1.148,
2003,September,11731,20,13468,1.148,
2003,October,12083,20,13898,1.150,
2003,November,11709,20,13470,1.150,Ave for 20 to 50
2003,December,12313,20,14164,1.150,1.163
2004,January,13061,23,14402,1.103,
2004,February,12329,23,13595,1.103,
2004,March,13387,23,14762,1.103,
2004,April,13194,23,14519,1.100,
2004,May,13641,23,15012,1.101,
2004,June,12988,23,14293,1.100,
2004,July,13143,23,14405,1.096,
2004,August,12970,23,14215,1.096,
2004,September,12426,23,13619,1.096,
2004,October,12824,23,14070,1.097,
2004,November,12404,23,13610,1.097,
2004,December,13037,23,14303,1.097,
2005,January,13287,23,14614,1.100,
2005,February,12301,23,13530,1.100,
2005,March,13825,23,15206,1.100,
2005,April,13717,23,15047,1.097,
2005,May,14311,23,15697,1.097,
2005,June,13755,23,15087,1.097,
2005,July,13715,23,14978,1.092,
2005,August,13640,23,14896,1.092,
2005,September,13057,23,14260,1.092,
2005,October,13373,23,14611,1.093,
2005,November,13002,23,14205,1.093,
2005,December,13599,23,14858,1.093,
2006,January,14027,23,15343,1.094,
2006,February,13018,23,14238,1.094,
2006,March,14599,23,15966,1.094,
2006,April,14222,23,15538,1.093,
2006,May,14712,23,16068,1.092,
2006,June,14033,23,15324,1.092,
2006,July,13937,23,15168,1.088,
2006,August,13838,23,15061,1.088,
2006,September,13307,23,14481,1.088,
2006,October,13637,23,14857,1.089,
2006,November,13332,23,14523,1.089,
2006,December,13983,23,15231,1.089,
2007,January,14302,23,15605,1.091,
2007,February,13125,23,14321,1.091,
2007,March,14787,23,16132,1.091,
2007,April,14470,23,15763,1.089,
2007,May,14860,23,16180,1.089,
2007,June,14216,23,15476,1.089,
2007,July,14500,23,15714,1.084,
2007,August,14323,23,15525,1.084,
2007,September,13718,23,14871,1.084,
2007,October,14176,23,15370,1.084,
2007,November,13843,23,15013,1.085,
2007,December,14414,23,15632,1.085,
2008,January,14750,23,15605,1.058,
2008,February,14007,23,14321,1.022,
2008,March,15191,23,16132,1.062,
2008,April,14901,23,15763,1.058,
2008,May,15451,23,16180,1.047,
2008,June,14760,23,15476,1.049,
2008,July,14848,23,15714,1.058,
2008,August,14626,23,15525,1.061,
2008,September,14041,23,14871,1.059,
2008,October,14469,23,15370,1.062,
2008,November,14089,23,15013,1.066,
2008,December,14728,23,15632,1.061,
2009,January,14902,23,16135,1.083,
2009,February,13624,23,14754,1.083,
2009,March,15222,23,16485,1.083,
2009,April,14922,23,16148,1.082,
2009,May,15541,23,16805,1.081,
2009,June,14754,23,15935,1.080,
2009,July,14867,23,16018,1.077,
2009,August,14606,23,15737,1.077,
2009,September,13957,23,15038,1.077,
2009,October,14306,23,15420,1.078,
2009,November,13979,23,15070,1.078,
2009,December,14632,23,15775,1.078,
2010,January,14839,23,16020,1.080,
2010,February,13670,23,14758,1.080,
2010,March,15389,23,16614,1.080,
2010,April,15213,23,16416,1.079,
2010,May,15804,23,17040,1.078,
2010,June,15186,23,16353,1.077,
2010,July,15316,23,16436,1.073,
2010,August,14998,23,16094,1.073,
2010,September,14481,23,15540,1.073,
2010,October,14796,23,15900,1.075,
2010,November,14421,23,15498,1.075,
2010,December,15025,23,16150,1.075,
2011,January,15219,23,16393,1.077,
2011,February,13997,23,15077,1.077,
2011,March,15773,23,16989,1.077,
2011,April,15475,23,16652,1.076,
2011,May,16069,23,17278,1.075,
2011,June,15382,23,16518,1.074,
2011,July,15395,23,16479,1.070,
2011,August,15342,23,16422,1.070,
2011,September,14744,23,15783,1.070,
2011,October,15170,23,16278,1.073,
2011,November,14742,23,15820,1.073,
2011,December,15426,23,16556,1.073,
2012,January,15810,23,17016,1.076,
2012,February,15153,23,16310,1.076,
2012,March,16462,23,17718,1.076,
2012,April,16031,23,17232,1.075,
2012,May,16384,23,17601,1.074,
2012,June,15544,23,16676,1.073,
2012,July,15495,23,16585,1.070,
2012,August,15322,23,16403,1.071,
2012,September,14653,23,15687,1.071,
2012,October,15172,23,16267,1.072,
2012,November,14929,23,16008,1.072,
2012,December,15688,23,16821,1.072,
2013,January,15985,23,17109,1.070,
2013,February,14715,23,15759,1.071,
2013,March,16501,23,17677,1.071,
2013,April,16105,23,17249,1.071,
2013,May,16648,23,17813,1.070,
2013,June,15860,23,16935,1.068,
2013,July,15762,23,16788,1.065,
2013,August,15768,23,16789,1.065,
2013,September,14874,23,15831,1.064,
2013,October,15449,23,16475,1.066,
2013,November,15002,23,16003,1.067,
2013,December,15741,23,16790,1.067,
2014,January,16186,23,17284,1.068,
2014,February,14892,23,15907,1.068,
2014,March,16690,23,17829,1.068,
2014,April,16344,23,17480,1.070,
2014,May,16934,23,18094,1.069,
2014,June,16241,23,17323,1.067,
2014,July,16381,23,17435,1.064,
2014,August,16184,23,17224,1.064,
2014,September,15519,23,16514,1.064,
2014,October,16017,23,17071,1.066,
2014,November,15527,23,16551,1.066,
2014,December,16256,23,17334,1.066,
2015,January,16544,23,17685,1.069,
2015,February,15124,23,16166,1.069,
2015,March,16918,23,18085,1.069,
2015,April,16641,23,17788,1.069,
2015,May,17246,23,18428,1.069,
2015,June,16397,23,17504,1.068,
2015,July,16589,23,17665,1.065,
2015,August,16349,23,17403,1.064,
2015,September,15609,23,16617,1.065,
2015,October,16063,23,17130,1.066,
2015,November,15646,23,16689,1.067,
2015,December,16381,23,17473,1.067,
2016,January,16553,23,17693,1.069,
2016,February,15817,23,16904,1.069,
2016,March,17222,23,18401,1.068,
2016,April,16817,23,17947,1.067,
2016,May,17442,23,18613,1.067,
2016,June,16654,23,17771,1.067,
2016,July,16863,23,17908,1.062,
2016,August,16659,23,17692,1.062,
2016,September,15989,23,16990,1.063,
2016,October,16503,23,17565,1.064,
2016,November,16066,23,17100,1.064,
2016,December,16777,23,17852,1.064,
2017,January,16993,23,18128,1.067,
2017,February,15645,23,16694,1.067,
2017,March,17564,23,18740,1.067,
2017,April,17200,23,18332,1.066,
2017,May,17783,23,18952,1.066,
2017,June,16947,23,18060,1.066,
2017,July,17224,23,18268,1.061,
2017,August,17014,23,18049,1.061,
2017,September,16162,23,17156,1.062,
2017,October,16710,23,17769,1.063,
2017,November,16235,23,17260,1.063,
2017,December,16978,23,18058,1.064,
2018,January,17302,23,18431,1.065,
2018,February,15922,23,16961,1.065,
2018,March,17812,23,18975,1.065,
2018,April,17294,23,18397,1.064,
2018,May,17976,23,19123,1.064,Average for 23 to 50
2018,June,17214,23,18310,1.064,1.075
2018,July,17299,23,18350,1.061,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
